Name	GSM1074947_APPLY_p_Hulin_58_430A_Mouse430A_2_A01_528242.EXPRESSION	GSM1074948_APPLY_p_Hulin_58_430A_Mouse430A_2_A02_528130.EXPRESSION	GSM1074949_APPLY_p_Hulin_58_430A_Mouse430A_2_A03_528272.EXPRESSION	GSM1074950_APPLY_p_Hulin_58_430A_Mouse430A_2_A04_528190.EXPRESSION	GSM1074951_APPLY_p_Hulin_58_430A_Mouse430A_2_A05_528142.EXPRESSION	GSM1074952_APPLY_p_Hulin_58_430A_Mouse430A_2_A06_528174.EXPRESSION	GSM1074953_APPLY_p_Hulin_58_430A_Mouse430A_2_A07_528222.EXPRESSION	GSM1074954_APPLY_p_Hulin_58_430A_Mouse430A_2_A08_528264.EXPRESSION	GSM1074955_APPLY_p_Hulin_58_430A_Mouse430A_2_A09_528228.EXPRESSION	GSM1074956_APPLY_p_Hulin_58_430A_Mouse430A_2_A10_528122.EXPRESSION	GSM1074957_APPLY_p_Hulin_58_430A_Mouse430A_2_A11_528118.EXPRESSION	GSM1074958_APPLY_p_Hulin_58_430A_Mouse430A_2_A12_528294.EXPRESSION	GSM1074959_APPLY_p_Hulin_58_430A_Mouse430A_2_B01_528198.EXPRESSION	GSM1074960_APPLY_p_Hulin_58_430A_Mouse430A_2_B02_528162.EXPRESSION	GSM1074961_APPLY_p_Hulin_58_430A_Mouse430A_2_B03_528172.EXPRESSION	GSM1074962_APPLY_p_Hulin_58_430A_Mouse430A_2_B04_528232.EXPRESSION	GSM1074963_APPLY_p_Hulin_58_430A_Mouse430A_2_B05_528290.EXPRESSION	GSM1074964_APPLY_p_Hulin_58_430A_Mouse430A_2_B06_528150.EXPRESSION	GSM1074965_APPLY_p_Hulin_58_430A_Mouse430A_2_B07_528284.EXPRESSION	GSM1074966_APPLY_p_Hulin_58_430A_Mouse430A_2_B08_528244.EXPRESSION	GSM1074967_APPLY_p_Hulin_58_430A_Mouse430A_2_B09_528186.EXPRESSION	GSM1074968_APPLY_p_Hulin_58_430A_Mouse430A_2_B10_528194.EXPRESSION	GSM1074969_APPLY_p_Hulin_58_430A_Mouse430A_2_B11_528262.EXPRESSION	GSM1074970_APPLY_p_Hulin_58_430A_Mouse430A_2_B12_528132.EXPRESSION	GSM1074971_APPLY_p_Hulin_58_430A_Mouse430A_2_C01_528304.EXPRESSION	GSM1074972_APPLY_p_Hulin_58_430A_Mouse430A_2_C02_528216.EXPRESSION	GSM1074973_APPLY_p_Hulin_58_430A_Mouse430A_2_C03_528184.EXPRESSION	GSM1074974_APPLY_p_Hulin_58_430A_Mouse430A_2_C04_528282.EXPRESSION	GSM1074975_APPLY_p_Hulin_58_430A_Mouse430A_2_C05_528136.EXPRESSION	GSM1074976_APPLY_p_Hulin_58_430A_Mouse430A_2_C06_528296.EXPRESSION	GSM1074977_APPLY_p_Hulin_58_430A_Mouse430A_2_C07_528298.EXPRESSION	GSM1074978_APPLY_p_Hulin_58_430A_Mouse430A_2_C08_528280.EXPRESSION	GSM1074979_APPLY_p_Hulin_58_430A_Mouse430A_2_C09_528286.EXPRESSION	GSM1074980_APPLY_p_Hulin_58_430A_Mouse430A_2_C10_528210.EXPRESSION	GSM1074981_APPLY_p_Hulin_58_430A_Mouse430A_2_C11_528134.EXPRESSION	GSM1074982_APPLY_p_Hulin_58_430A_Mouse430A_2_C12_528212.EXPRESSION	GSM1074983_APPLY_p_Hulin_58_430A_Mouse430A_2_D01_528268.EXPRESSION	GSM1074984_APPLY_p_Hulin_58_430A_Mouse430A_2_D02_528182.EXPRESSION	GSM1074985_APPLY_p_Hulin_58_430A_Mouse430A_2_D03_528274.EXPRESSION	GSM1074986_APPLY_p_Hulin_58_430A_Mouse430A_2_D04_528204.EXPRESSION	GSM1074987_APPLY_p_Hulin_58_430A_Mouse430A_2_D05_528252.EXPRESSION	GSM1074988_APPLY_p_Hulin_58_430A_Mouse430A_2_D06_528278.EXPRESSION	GSM1074989_APPLY_p_Hulin_58_430A_Mouse430A_2_D07_528152.EXPRESSION	GSM1074990_APPLY_p_Hulin_58_430A_Mouse430A_2_D08_528188.EXPRESSION	GSM1074991_APPLY_p_Hulin_58_430A_Mouse430A_2_D09_528292.EXPRESSION	GSM1074992_APPLY_p_Hulin_58_430A_Mouse430A_2_D10_528250.EXPRESSION	GSM1074993_APPLY_p_Hulin_58_430A_Mouse430A_2_D11_528164.EXPRESSION	GSM1074994_APPLY_p_Hulin_58_430A_Mouse430A_2_D12_528160.EXPRESSION	GSM1074995_APPLY_p_Hulin_58_430A_Mouse430A_2_E01_528176.EXPRESSION	GSM1074996_APPLY_p_Hulin_58_430A_Mouse430A_2_E02_528206.EXPRESSION	GSM1074997_APPLY_p_Hulin_58_430A_Mouse430A_2_E03_528124.EXPRESSION	GSM1074998_APPLY_p_Hulin_58_430A_Mouse430A_2_E04_528254.EXPRESSION	GSM1074999_APPLY_p_Hulin_58_430A_Mouse430A_2_E05_528128.EXPRESSION	GSM1075000_APPLY_p_Hulin_58_430A_Mouse430A_2_E06_528276.EXPRESSION	GSM1075001_APPLY_p_Hulin_58_430A_Mouse430A_2_E07_528166.EXPRESSION	GSM1075002_APPLY_p_Hulin_58_430A_Mouse430A_2_E08_528126.EXPRESSION	GSM1075003_APPLY_p_Hulin_58_430A_Mouse430A_2_E09_528236.EXPRESSION	GSM1075004_APPLY_p_Hulin_58_430A_Mouse430A_2_E10_528246.EXPRESSION
2810417H13Rik	6.357147193	6.409667112	6.614450481	6.680188398	5.854929772	5.862498754	5.586436655	5.904992165	7.841148798	11.01906199	11.90715939	12.08528229	12.0504346	12.04910708	12.05783889	12.06627496	12.02450871	12.21888334	6.618228828	6.450054712	6.61385153	6.4096376	6.290697027	5.853422254	5.632758111	5.71637269	7.44647339	10.32404314	11.76183414	12.27834303	12.02715183	11.9953768	12.01911805	12.01374976	12.10510485	12.13936152	12.07009453	12.02078948	12.14013752	12.01865836	7.015954118	6.65915305	5.847851724	10.86324552	12.22833566	12.02574412	11.95441585	12.02720266	7.235556855	5.835522411	5.820972146	10.35599499	12.27801533	12.19420981	12.03683182	12.14805234	12.07622655	12.13997809
Sox4	8.393525432	7.926681435	8.016532755	8.281448851	8.316714964	8.052509127	7.521811617	6.997559552	6.217233936	6.011065903	5.818841393	5.768700952	5.963132629	5.831519693	5.943037907	5.834078439	5.869748191	6.013312613	7.931591635	7.671259988	6.577045103	7.517225533	7.638299089	7.335581124	6.626417667	6.391998147	6.146373031	6.133603282	6.017527187	5.49658231	5.658969947	4.829847977	5.346636302	5.072772005	5.740778655	5.319291232	5.366689891	4.821109545	5.443069981	5.554473241	8.625673235	8.303942494	7.518571175	6.030146354	5.755556386	5.697399795	5.891431237	5.929804835	8.162938633	7.573621118	6.717276577	6.356116117	5.560757826	5.569584946	5.065408493	5.470371788	5.145752157	5.339226227
Hars2	7.7782724	7.826415824	7.660220175	7.50883513	7.732377985	7.893629917	8.040095959	7.978359056	7.722492276	7.555881789	7.607783384	7.593665039	7.70800301	7.671002631	7.665166056	7.443501053	7.725106093	7.431045177	7.719556241	7.6242957	7.42882331	7.587492736	7.916776286	7.860971205	7.754436866	7.975367874	7.58307033	7.480383149	7.391367574	7.342662985	7.407475619	7.485916867	7.488984511	7.394455465	7.459789599	7.422764492	7.322405262	7.382200935	7.397560111	7.41493789	7.820186598	7.703517523	7.904704021	7.933778902	7.62995888	7.594033951	7.753286369	7.636946823	7.853497882	7.599569778	7.701483726	7.607692163	7.358525205	7.0731739	7.315391321	7.373445052	7.347918747	7.337710435
Dnajc3	10.85544635	10.66564293	9.953952922	9.052249292	9.449134213	9.372189452	9.866275331	10.05584165	9.828106892	10.05814317	10.32183892	10.33365181	10.30026841	10.21895813	10.17766848	9.980550791	9.930658726	9.909736995	10.72036838	10.39795106	9.505344783	9.059977561	9.561082321	9.621862754	9.754769113	10.15656716	10.1019594	10.55992078	10.60948673	10.55366129	10.35054654	10.27897991	10.08772046	10.01490265	10.00105992	9.730823922	10.27382414	10.08425309	10.21555222	10.08838186	10.71933155	9.151062772	9.81506317	10.15812405	10.42803031	10.2226512	10.1395206	9.994562445	10.67970285	9.055629255	9.835471361	10.6249451	10.54198462	10.17066349	10.02525205	9.913593516	9.820363221	9.889066818
Znf260	8.4647904	9.188569094	8.783264853	7.430901532	7.203376456	6.758098815	7.009267242	6.839560863	6.349919619	6.912459621	6.940474319	7.083320346	6.836141547	6.935857649	6.655236526	7.002378999	6.950245017	6.889686085	8.350714968	8.596360356	8.895638383	7.554063355	7.313262076	7.107770581	6.939043663	7.051146781	6.815295821	7.116908375	6.874532012	6.980572407	7.162232258	7.395197065	6.887387238	7.104680008	7.182845663	7.458512175	7.101644023	7.286664277	7.354067327	7.885267043	9.137972055	7.460267848	6.964113403	6.717967103	7.200389492	7.036555139	7.20118068	7.179407536	8.803562549	7.558410707	7.080664753	6.782753684	7.178144651	6.736418624	7.08087893	7.114176468	6.994922712	7.291869825
Zfp260	8.72357178	9.37848227	9.067544045	7.703123632	7.08743068	6.930421236	6.865767377	6.515575036	6.263261943	6.920223826	6.88495543	7.018331184	6.505165229	6.768756089	6.915303762	7.052887081	7.03460816	7.098380383	8.876493784	9.113457581	8.969094986	7.646801582	7.13883657	7.019559799	7.133349267	6.914217155	6.781176381	7.201377922	7.089579449	6.967381182	6.857212508	7.141185543	7.089922234	7.286779624	7.3299489	7.755574899	7.143382382	7.195514241	7.480640604	7.843198589	9.208902463	7.703840834	6.912040703	6.856294976	7.109689188	7.114142836	7.037859744	7.114078419	8.985244324	7.69140847	6.805458178	6.956436096	7.126626363	6.566397701	7.142171065	7.286455159	7.208042206	7.495930961
Mapk6	8.941534323	9.338243075	11.01840054	11.54496719	10.5580832	10.6270275	10.38587174	10.13010271	9.724340234	9.266124636	9.434005405	9.487951138	9.453818137	9.199884741	9.227477458	9.102336231	9.054889515	8.781556274	9.318649272	9.579170776	11.32011457	11.67939442	10.78086497	10.73292606	10.47831773	10.32808058	10.10732799	9.705603702	9.657784467	9.649581151	9.453765492	9.211466557	9.381077788	9.237548216	9.385231439	9.101066365	9.465934759	9.458489031	9.762794931	9.897100048	9.173498439	11.42976031	10.34240309	9.509267719	9.40680389	9.403933496	9.159755734	8.953577851	9.615416535	11.47026693	10.49839121	9.867122035	9.509886629	9.369041954	9.334115614	9.223146255	9.456770241	9.577890649
Fam174a	9.420910792	9.549144486	9.551666344	8.69897654	8.057050071	8.53953013	8.677158978	8.883323688	8.891583866	9.263728987	9.153017961	9.121030548	8.943009557	9.032699849	9.249185782	9.369794692	9.322308922	8.908539142	9.358748998	9.259012152	9.339934819	8.575696138	8.39287438	8.548838173	8.789919032	9.058919436	9.084493722	9.447638106	9.369989058	9.274525624	8.992651542	9.23493414	9.165431869	9.361726951	9.055091593	9.311958308	9.086794714	9.293453644	9.105638353	9.020058661	9.438534514	8.313757162	8.773259082	9.376952177	9.230166059	9.382144791	9.424458311	9.359087493	9.36921821	8.626964272	8.729579761	9.19657439	9.104645758	9.054296808	9.162911133	9.195916563	9.291116767	9.42789858
Dhfr	5.624195421	5.385348813	5.105210494	4.835667269	5.11688704	5.063118755	5.064509241	5.889987436	7.943500678	9.896891337	9.929843355	9.505073023	9.253550309	9.276874697	9.05828243	9.516715264	9.019760164	9.038630646	5.744574487	6.28410774	5.407644524	5.268078857	4.403431773	5.119226208	5.036371996	6.311948906	8.037775898	10.17529327	10.32726448	9.790410956	9.351402919	9.166555841	9.199305207	9.098176482	9.214623746	8.600204317	9.185107815	9.099694667	9.246791164	8.066305998	5.844016673	5.596928019	5.41665511	9.938381132	9.758732238	9.660114388	9.488413699	9.450648997	5.827482324	4.338978417	5.021887009	9.775134442	9.87286238	9.663857893	9.469685685	9.248006024	9.523263987	9.247061684
Acy1	6.074600291	6.240718085	5.873838103	6.0906594	7.645153692	7.58534056	7.559728954	7.96208378	7.757042257	7.641538988	7.786816081	7.799933515	7.655179561	7.557900865	7.539659529	7.462422467	7.405624632	7.190319592	5.615554126	5.287255418	5.583053675	6.332783179	7.818958801	8.004000544	7.517633887	7.987163074	7.829898423	7.921023952	7.94547753	7.997084439	7.917748012	7.81456634	8.070440052	7.731345604	7.824592237	6.933513035	7.99863114	7.707203182	7.477591867	6.820403795	5.866695038	7.051211678	7.794888512	7.868446976	7.7428033	7.516672465	7.524122283	7.361591174	5.930367853	6.770685899	7.4441827	8.018549964	7.778381069	7.821523563	7.973615093	7.720413332	8.051248193	7.631913092
